danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.7,0.495,2,-7.213,1,0.0849,0.662,0,0.242,0.506,81.087,audio_features,21FAPISdIEJBXw3ahNNKO6,spotify:track:21FAPISdIEJBXw3ahNNKO6,https://api.spotify.com/v1/tracks/21FAPISdIEJBXw3ahNNKO6,https://api.spotify.com/v1/audio-analysis/21FAPISdIEJBXw3ahNNKO6,121813,4
0.0986,0.367,4,-8.96,0,0.035,0.591,0.00113,0.114,0.0386,68.131,audio_features,21UlLfDLSVAfhhElUbIpPH,spotify:track:21UlLfDLSVAfhhElUbIpPH,https://api.spotify.com/v1/tracks/21UlLfDLSVAfhhElUbIpPH,https://api.spotify.com/v1/audio-analysis/21UlLfDLSVAfhhElUbIpPH,315653,4
0.567,0.803,5,-7.345,1,0.128,0.0336,0.000164,0.728,0.661,156.395,audio_features,21YaOfHL08GQa3nnmVySbU,spotify:track:21YaOfHL08GQa3nnmVySbU,https://api.spotify.com/v1/tracks/21YaOfHL08GQa3nnmVySbU,https://api.spotify.com/v1/audio-analysis/21YaOfHL08GQa3nnmVySbU,209653,4
0.183,0.133,4,-16.154,0,0.0355,0.961,0.93,0.149,0.0392,75.316,audio_features,221CmvZVUNILgJwJ4KHDuE,spotify:track:221CmvZVUNILgJwJ4KHDuE,https://api.spotify.com/v1/tracks/221CmvZVUNILgJwJ4KHDuE,https://api.spotify.com/v1/audio-analysis/221CmvZVUNILgJwJ4KHDuE,200693,1
0.467,0.694,4,-9.174,1,0.0478,0.0595,0.000108,0.961,0.325,118.938,audio_features,23LeaZMjhoTWO8ZMiZUe1f,spotify:track:23LeaZMjhoTWO8ZMiZUe1f,https://api.spotify.com/v1/tracks/23LeaZMjhoTWO8ZMiZUe1f,https://api.spotify.com/v1/audio-analysis/23LeaZMjhoTWO8ZMiZUe1f,213253,4
0.434,0.6,3,-6.249,1,0.0288,0.465,0,0.248,0.311,82.315,audio_features,23qOCI8J6FhIhR3Rh33QD8,spotify:track:23qOCI8J6FhIhR3Rh33QD8,https://api.spotify.com/v1/tracks/23qOCI8J6FhIhR3Rh33QD8,https://api.spotify.com/v1/audio-analysis/23qOCI8J6FhIhR3Rh33QD8,248800,4
0.273,0.65,7,-5.098,1,0.0321,0.252,1.38E-06,0.253,0.226,137.615,audio_features,24KGTKAvC2ALvGWJq8QhUV,spotify:track:24KGTKAvC2ALvGWJq8QhUV,https://api.spotify.com/v1/tracks/24KGTKAvC2ALvGWJq8QhUV,https://api.spotify.com/v1/audio-analysis/24KGTKAvC2ALvGWJq8QhUV,205413,4
0.309,0.18,3,-15.073,1,0.0358,0.943,2.18E-05,0.19,0.109,95.614,audio_features,259kYC35Sn6uBHOZdTITu6,spotify:track:259kYC35Sn6uBHOZdTITu6,https://api.spotify.com/v1/tracks/259kYC35Sn6uBHOZdTITu6,https://api.spotify.com/v1/audio-analysis/259kYC35Sn6uBHOZdTITu6,278489,3
0.863,0.381,9,-12.823,1,0.0528,0.261,0.000277,0.202,0.906,120.645,audio_features,2cApVA9Z5hg5pHeWo0Hkzn,spotify:track:2cApVA9Z5hg5pHeWo0Hkzn,https://api.spotify.com/v1/tracks/2cApVA9Z5hg5pHeWo0Hkzn,https://api.spotify.com/v1/audio-analysis/2cApVA9Z5hg5pHeWo0Hkzn,186853,4
0.182,0.388,4,-8.672,0,0.0324,0.544,0.00134,0.114,0.0392,139.276,audio_features,2DFoOSWNQkgrJuP4NTacGz,spotify:track:2DFoOSWNQkgrJuP4NTacGz,https://api.spotify.com/v1/tracks/2DFoOSWNQkgrJuP4NTacGz,https://api.spotify.com/v1/audio-analysis/2DFoOSWNQkgrJuP4NTacGz,295333,4
0.619,0.767,4,-7.811,1,0.027,0.466,0.000279,0.387,0.644,129.947,audio_features,2DRW68rSFwwd7YCT4T54x9,spotify:track:2DRW68rSFwwd7YCT4T54x9,https://api.spotify.com/v1/tracks/2DRW68rSFwwd7YCT4T54x9,https://api.spotify.com/v1/audio-analysis/2DRW68rSFwwd7YCT4T54x9,186080,4
